2024/04/12 20:58:39 ID: 241, Data: 9C18BEFF98FF5203, Celsius: 24, A: -0.66, rev/s: -0.289,  rev: +2.361
2024/04/12 20:58:39 ID: 241, Data: 9C18B9FF92FF4703, Celsius: 24, A: -0.71, rev/s: -0.306,  rev: +2.331
2024/04/12 20:58:39 ID: 241, Data: 9C18C4FF90FF3B03, Celsius: 24, A: -0.60, rev/s: -0.311,  rev: +2.297
2024/04/12 20:58:39 ID: 241, Data: 9C18D8FF89FF3003, Celsius: 24, A: -0.40, rev/s: -0.331,  rev: +2.267
2024/04/12 20:58:39 ID: 241, Data: 9C18E6FF95FF2503, Celsius: 24, A: -0.26, rev/s: -0.297,  rev: +2.236
2024/04/12 20:58:39 ID: 241, Data: 9C18FFFF8EFF1903, Celsius: 24, A: -0.01, rev/s: -0.317,  rev: +2.203
2024/04/12 20:58:39 ID: 241, Data: 9C18FEFF99FF0E03, Celsius: 24, A: -0.02, rev/s: -0.286,  rev: +2.172
2024/04/12 20:58:40 ID: 241, Data: 9C18FBFF97FF0303, Celsius: 24, A: -0.05, rev/s: -0.292,  rev: +2.142
2024/04/12 20:58:40 ID: 241, Data: 9C18FFFF93FFF802, Celsius: 24, A: -0.01, rev/s: -0.303,  rev: +2.111
2024/04/12 20:58:40 ID: 241, Data: 9C18FAFF9AFFED02, Celsius: 24, A: -0.06, rev/s: -0.283,  rev: +2.081
2024/04/12 20:58:40 ID: 241, Data: 9C18FFFF8EFFE202, Celsius: 24, A: -0.01, rev/s: -0.317,  rev: +2.050
2024/04/12 20:58:40 ID: 241, Data: 9C18FDFF99FFD702, Celsius: 24, A: -0.03, rev/s: -0.286,  rev: +2.019
2024/04/12 20:58:40 ID: 241, Data: 9C18FFFF8EFFCC02, Celsius: 24, A: -0.01, rev/s: -0.317,  rev: +1.989
2024/04/12 20:58:40 ID: 241, Data: 9C18FFFF9BFFC102, Celsius: 24, A: -0.01, rev/s: -0.281,  rev: +1.958
2024/04/12 20:58:40 ID: 241, Data: 9C18FEFF89FFB602, Celsius: 24, A: -0.02, rev/s: -0.331,  rev: +1.928
2024/04/12 20:58:40 ID: 241, Data: 9C18FEFF9CFFAA02, Celsius: 24, A: -0.02, rev/s: -0.278,  rev: +1.894
2024/04/12 20:58:40 ID: 241, Data: 9C18FCFF91FF9F02, Celsius: 24, A: -0.04, rev/s: -0.308,  rev: +1.864
2024/04/12 20:58:41 ID: 241, Data: 9C18000097FF9402, Celsius: 24, A: +0.00, rev/s: -0.292,  rev: +1.833
2024/04/12 20:58:41 ID: 241, Data: 9C18FBFF9AFF8902, Celsius: 24, A: -0.05, rev/s: -0.283,  rev: +1.803
2024/04/12 20:58:41 ID: 241, Data: 9C18000093FF7E02, Celsius: 24, A: +0.00, rev/s: -0.303,  rev: +1.772
2024/04/12 20:58:41 ID: 241, Data: 9C18F8FF94FF7302, Celsius: 24, A: -0.08, rev/s: -0.300,  rev: +1.742
2024/04/12 20:58:41 ID: 241, Data: 9C18000091FF6802, Celsius: 24, A: +0.00, rev/s: -0.308,  rev: +1.711
2024/04/12 20:58:41 ID: 241, Data: 9C18FBFF93FF5C02, Celsius: 24, A: -0.05, rev/s: -0.303,  rev: +1.678
2024/04/12 20:58:41 ID: 241, Data: 9C18FEFF92FF5102, Celsius: 24, A: -0.02, rev/s: -0.306,  rev: +1.647
2024/04/12 20:58:41 ID: 241, Data: 9C18FEFF9CFF4602, Celsius: 24, A: -0.02, rev/s: -0.278,  rev: +1.617
2024/04/12 20:58:41 ID: 241, Data: 9C18FEFF89FF3B02, Celsius: 24, A: -0.02, rev/s: -0.331,  rev: +1.586
2024/04/12 20:58:41 ID: 241, Data: 9C18FFFF99FF3002, Celsius: 24, A: -0.01, rev/s: -0.286,  rev: +1.556
2024/04/12 20:58:42 ID: 241, Data: 9C18FCFF90FF2502, Celsius: 24, A: -0.04, rev/s: -0.311,  rev: +1.525
2024/04/12 20:58:42 ID: 241, Data: 9C18FEFF97FF1A02, Celsius: 24, A: -0.02, rev/s: -0.292,  rev: +1.494
2024/04/12 20:58:42 ID: 241, Data: 9C18FAFF97FF0E02, Celsius: 24, A: -0.06, rev/s: -0.292,  rev: +1.461
2024/04/12 20:58:42 ID: 241, Data: 9C18000092FF0302, Celsius: 24, A: +0.00, rev/s: -0.306,  rev: +1.431
2024/04/12 20:58:42 ID: 241, Data: 9C18F9FF94FFF801, Celsius: 24, A: -0.07, rev/s: -0.300,  rev: +1.400
2024/04/12 20:58:42 ID: 241, Data: 9C18000094FFED01, Celsius: 24, A: +0.00, rev/s: -0.300,  rev: +1.369
2024/04/12 20:58:42 ID: 241, Data: 9C18FBFF94FFE201, Celsius: 24, A: -0.05, rev/s: -0.300,  rev: +1.339
2024/04/12 20:58:42 ID: 241, Data: 9C18FFFF90FFD701, Celsius: 24, A: -0.01, rev/s: -0.311,  rev: +1.308
2024/04/12 20:58:42 ID: 241, Data: 9C18FBFF99FFCC01, Celsius: 24, A: -0.05, rev/s: -0.286,  rev: +1.278
2024/04/12 20:58:43 ID: 241, Data: 9C18FFFF8CFFC001, Celsius: 24, A: -0.01, rev/s: -0.322,  rev: +1.244
2024/04/12 20:58:43 ID: 241, Data: 9C18FCFF9CFFB501, Celsius: 24, A: -0.04, rev/s: -0.278,  rev: +1.214
2024/04/12 20:58:43 ID: 241, Data: 9C18FDFF8FFFAA01, Celsius: 24, A: -0.03, rev/s: -0.314,  rev: +1.183
2024/04/12 20:58:43 ID: 241, Data: 9C18FCFF97FF9F01, Celsius: 24, A: -0.04, rev/s: -0.292,  rev: +1.153
2024/04/12 20:58:43 ID: 241, Data: 9C18FBFF92FF9401, Celsius: 24, A: -0.05, rev/s: -0.306,  rev: +1.122
2024/04/12 20:58:43 ID: 241, Data: 9C18FFFF97FF8901, Celsius: 24, A: -0.01, rev/s: -0.292,  rev: +1.092
2024/04/12 20:58:43 ID: 241, Data: 9C18FBFF93FF7E01, Celsius: 24, A: -0.05, rev/s: -0.303,  rev: +1.061
2024/04/12 20:58:43 ID: 241, Data: 9C18FDFF97FF7201, Celsius: 24, A: -0.03, rev/s: -0.292,  rev: +1.028
2024/04/12 20:58:43 ID: 241, Data: 9C18FBFF92FF6701, Celsius: 24, A: -0.05, rev/s: -0.306,  rev: +0.997
2024/04/12 20:58:43 ID: 241, Data: 9C18FFFF91FF5C01, Celsius: 24, A: -0.01, rev/s: -0.308,  rev: +0.967
2024/04/12 20:58:44 ID: 241, Data: 9C18FEFF9BFF5101, Celsius: 24, A: -0.02, rev/s: -0.281,  rev: +0.936
2024/04/12 20:58:44 ID: 241, Data: 9C1800008BFF4601, Celsius: 24, A: +0.00, rev/s: -0.325,  rev: +0.906
2024/04/12 20:58:44 ID: 241, Data: 9C18FDFF9EFF3B01, Celsius: 24, A: -0.03, rev/s: -0.272,  rev: +0.875
2024/04/12 20:58:44 ID: 241, Data: 9C18FFFF8CFF2F01, Celsius: 24, A: -0.01, rev/s: -0.322,  rev: +0.842
2024/04/12 20:58:44 ID: 241, Data: 9C18FEFF99FF2401, Celsius: 24, A: -0.02, rev/s: -0.286,  rev: +0.811
2024/04/12 20:58:44 ID: 241, Data: 9C18F9FF91FF1901, Celsius: 24, A: -0.07, rev/s: -0.308,  rev: +0.781
2024/04/12 20:58:44 ID: 241, Data: 9C18000097FF0E01, Celsius: 24, A: +0.00, rev/s: -0.292,  rev: +0.750
2024/04/12 20:58:44 ID: 241, Data: 9C18F9FF99FF0301, Celsius: 24, A: -0.07, rev/s: -0.286,  rev: +0.719
2024/04/12 20:58:44 ID: 241, Data: 9C18000094FFF800, Celsius: 24, A: +0.00, rev/s: -0.300,  rev: +0.689
2024/04/12 20:58:44 ID: 241, Data: 9C18FBFF93FFED00, Celsius: 24, A: -0.05, rev/s: -0.303,  rev: +0.658
2024/04/12 20:58:45 ID: 241, Data: 9C18FFFF90FFE200, Celsius: 24, A: -0.01, rev/s: -0.311,  rev: +0.628
2024/04/12 20:58:45 ID: 241, Data: 9C18FEFF9BFFD700, Celsius: 24, A: -0.02, rev/s: -0.281,  rev: +0.597
2024/04/12 20:58:45 ID: 241, Data: 9C18FEFF8AFFCB00, Celsius: 24, A: -0.02, rev/s: -0.328,  rev: +0.564
2024/04/12 20:58:45 ID: 241, Data: 9C18FDFF9EFFC000, Celsius: 24, A: -0.03, rev/s: -0.272,  rev: +0.533
