2024/04/15 11:02:57 ID: 241, Data: 9C181200FD06AE2C, Celsius: 24, A: +0.18, rev/s: +4.969,  rev: +31.772
2024/04/15 11:02:57 ID: 241, Data: 9C191A00C906632D, Celsius: 25, A: +0.26, rev/s: +4.825,  rev: +32.275
2024/04/15 11:02:57 ID: 241, Data: 9C1912000F071B2E, Celsius: 25, A: +0.18, rev/s: +5.019,  rev: +32.786
2024/04/15 11:02:57 ID: 241, Data: 9C181F00CA06D02E, Celsius: 24, A: +0.31, rev/s: +4.828,  rev: +33.289
2024/04/15 11:02:57 ID: 241, Data: 9C1919000A07882F, Celsius: 25, A: +0.25, rev/s: +5.006,  rev: +33.800
2024/04/15 11:02:58 ID: 241, Data: 9C182100F1063E30, Celsius: 24, A: +0.33, rev/s: +4.936,  rev: +34.306
2024/04/15 11:02:58 ID: 241, Data: 9C1823000907F630, Celsius: 24, A: +0.35, rev/s: +5.003,  rev: +34.817
2024/04/15 11:02:58 ID: 241, Data: 9C191800EE06AD31, Celsius: 25, A: +0.24, rev/s: +4.928,  rev: +35.325
2024/04/15 11:02:58 ID: 241, Data: 9C182200E8066632, Celsius: 24, A: +0.34, rev/s: +4.911,  rev: +35.839
2024/04/15 11:02:58 ID: 241, Data: 9C181800F3061B33, Celsius: 24, A: +0.24, rev/s: +4.942,  rev: +36.342
2024/04/15 11:02:58 ID: 241, Data: 9C181700FB06D533, Celsius: 24, A: +0.23, rev/s: +4.964,  rev: +36.858
2024/04/15 11:02:58 ID: 241, Data: 9C18140004078C34, Celsius: 24, A: +0.20, rev/s: +4.989,  rev: +37.367
2024/04/15 11:02:58 ID: 241, Data: 9C182700DC064535, Celsius: 24, A: +0.39, rev/s: +4.878,  rev: +37.881
2024/04/15 11:02:58 ID: 241, Data: 9C181F00FC06FC35, Celsius: 24, A: +0.31, rev/s: +4.967,  rev: +38.389
2024/04/15 11:02:58 ID: 241, Data: 9C182000F806B436, Celsius: 24, A: +0.32, rev/s: +4.956,  rev: +38.900
2024/04/15 11:02:59 ID: 241, Data: 9C18170013076B37, Celsius: 24, A: +0.23, rev/s: +5.031,  rev: +39.408
2024/04/15 11:02:59 ID: 241, Data: 9C182900E3062438, Celsius: 24, A: +0.41, rev/s: +4.897,  rev: +39.922
2024/04/15 11:02:59 ID: 241, Data: 9C1817002407DC38, Celsius: 24, A: +0.23, rev/s: +5.078,  rev: +40.433
2024/04/15 11:02:59 ID: 241, Data: 9C182B0000079639, Celsius: 24, A: +0.43, rev/s: +4.978,  rev: +40.950
2024/04/15 11:02:59 ID: 241, Data: 9C181B0047074E3A, Celsius: 24, A: +0.27, rev/s: +5.175,  rev: +41.461
2024/04/15 11:02:59 ID: 241, Data: 9C1817000F07093B, Celsius: 24, A: +0.23, rev/s: +5.019,  rev: +41.981
2024/04/15 11:02:59 ID: 241, Data: 9C1828001507C23B, Celsius: 24, A: +0.40, rev/s: +5.036,  rev: +42.494
2024/04/15 11:02:59 ID: 241, Data: 9C1814000E077C3C, Celsius: 24, A: +0.20, rev/s: +5.017,  rev: +43.011
2024/04/15 11:02:59 ID: 241, Data: 9C181E000707343D, Celsius: 24, A: +0.30, rev/s: +4.997,  rev: +43.522
2024/04/15 11:03:00 ID: 241, Data: 9C1813003307ED3D, Celsius: 24, A: +0.19, rev/s: +5.119,  rev: +44.036
2024/04/15 11:03:00 ID: 241, Data: 9C181F001E07A63E, Celsius: 24, A: +0.31, rev/s: +5.061,  rev: +44.550
2024/04/15 11:03:00 ID: 241, Data: 9C181C0001075F3F, Celsius: 24, A: +0.28, rev/s: +4.981,  rev: +45.064
2024/04/15 11:03:00 ID: 241, Data: 9C182B0010071940, Celsius: 24, A: +0.43, rev/s: +5.022,  rev: +45.581
2024/04/15 11:03:00 ID: 241, Data: 9C181900F706D240, Celsius: 24, A: +0.25, rev/s: +4.953,  rev: +46.094
