2024/04/12 15:40:15 ID: 241, Data: 9C1A00004704ABE3, Celsius: 26, A: +0.00, rev/s: +3.042,  rev: -20.147
2024/04/12 15:40:15 ID: 241, Data: 9C1A0D00240419E4, Celsius: 26, A: +0.13, rev/s: +2.944,  rev: -19.842
2024/04/12 15:40:16 ID: 241, Data: 9C1A0200330487E4, Celsius: 26, A: +0.02, rev/s: +2.986,  rev: -19.536
2024/04/12 15:40:16 ID: 241, Data: 9C1A0C000E04F6E4, Celsius: 26, A: +0.12, rev/s: +2.883,  rev: -19.228
2024/04/12 15:40:16 ID: 241, Data: 9C1A09004E0465E5, Celsius: 26, A: +0.09, rev/s: +3.061,  rev: -18.919
2024/04/12 15:40:16 ID: 241, Data: 9C1A04004404D3E5, Celsius: 26, A: +0.04, rev/s: +3.033,  rev: -18.614
2024/04/12 15:40:16 ID: 241, Data: 9C1A0B00280443E6, Celsius: 26, A: +0.11, rev/s: +2.956,  rev: -18.303
2024/04/12 15:40:16 ID: 241, Data: 9C1A03005A04B1E6, Celsius: 26, A: +0.03, rev/s: +3.094,  rev: -17.997
2024/04/12 15:40:16 ID: 241, Data: 9C1A04002D0420E7, Celsius: 26, A: +0.04, rev/s: +2.969,  rev: -17.689
2024/04/12 15:40:16 ID: 241, Data: 9C1A080055048EE7, Celsius: 26, A: +0.08, rev/s: +3.081,  rev: -17.383
2024/04/12 15:40:16 ID: 241, Data: 9C1A03002104FCE7, Celsius: 26, A: +0.03, rev/s: +2.936,  rev: -17.078
2024/04/12 15:40:17 ID: 241, Data: 9C1A0D0019046BE8, Celsius: 26, A: +0.13, rev/s: +2.914,  rev: -16.769
2024/04/12 15:40:17 ID: 241, Data: 9C1A02006604D9E8, Celsius: 26, A: +0.02, rev/s: +3.128,  rev: -16.464
2024/04/12 15:40:17 ID: 241, Data: 9C1A0E00030448E9, Celsius: 26, A: +0.14, rev/s: +2.853,  rev: -16.156
2024/04/12 15:40:17 ID: 241, Data: 9C1A07003304B7E9, Celsius: 26, A: +0.07, rev/s: +2.986,  rev: -15.847
2024/04/12 15:40:17 ID: 241, Data: 9C1A0400160425EA, Celsius: 26, A: +0.04, rev/s: +2.906,  rev: -15.542
2024/04/12 15:40:17 ID: 241, Data: 9C1A0A00250494EA, Celsius: 26, A: +0.10, rev/s: +2.947,  rev: -15.233
2024/04/12 15:40:17 ID: 241, Data: 9C1A0100560402EB, Celsius: 26, A: +0.01, rev/s: +3.083,  rev: -14.928
