2024/04/15 15:11:59 ID: 241, Data: 9C313F03F5FF3707, Celsius: 49, A: +8.31, rev/s: -0.031,  rev: +5.131
2024/04/15 15:11:59 ID: 241, Data: 9C323D03FDFF3707, Celsius: 50, A: +8.29, rev/s: -0.008,  rev: +5.131
2024/04/15 15:11:59 ID: 241, Data: 9C323B03F9FF3707, Celsius: 50, A: +8.27, rev/s: -0.019,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C323C0309003707, Celsius: 50, A: +8.28, rev/s: +0.025,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C323D0306003707, Celsius: 50, A: +8.29, rev/s: +0.017,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C333A0311003707, Celsius: 51, A: +8.26, rev/s: +0.047,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C3338031D003707, Celsius: 51, A: +8.24, rev/s: +0.081,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C33390301003707, Celsius: 51, A: +8.25, rev/s: +0.003,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C34380314003707, Celsius: 52, A: +8.24, rev/s: +0.056,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C343703F7FF3707, Celsius: 52, A: +8.23, rev/s: -0.025,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C34360305003707, Celsius: 52, A: +8.22, rev/s: +0.014,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C34360300003707, Celsius: 52, A: +8.22, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:00 ID: 241, Data: 9C35360300003707, Celsius: 53, A: +8.22, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C3535030D003707, Celsius: 53, A: +8.21, rev/s: +0.036,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C35330309003707, Celsius: 53, A: +8.19, rev/s: +0.025,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C353503F8FF3707, Celsius: 53, A: +8.21, rev/s: -0.022,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C363203F6FF3707, Celsius: 54, A: +8.18, rev/s: -0.028,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C3631030C003707, Celsius: 54, A: +8.17, rev/s: +0.033,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C363103F9FF3707, Celsius: 54, A: +8.17, rev/s: -0.019,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C363103DCFF3707, Celsius: 54, A: +8.17, rev/s: -0.100,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C373003FCFF3707, Celsius: 55, A: +8.16, rev/s: -0.011,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C373003DEFF3707, Celsius: 55, A: +8.16, rev/s: -0.094,  rev: +5.131
2024/04/15 15:12:01 ID: 241, Data: 9C372F0300003707, Celsius: 55, A: +8.15, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C383003F5FF3707, Celsius: 56, A: +8.16, rev/s: -0.031,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C382D030F003707, Celsius: 56, A: +8.13, rev/s: +0.042,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C382D03F3FF3707, Celsius: 56, A: +8.13, rev/s: -0.036,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C382A0300003707, Celsius: 56, A: +8.10, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C382C031C003707, Celsius: 56, A: +8.12, rev/s: +0.078,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C392C0301003707, Celsius: 57, A: +8.12, rev/s: +0.003,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C392C03F2FF3707, Celsius: 57, A: +8.12, rev/s: -0.039,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C392A030E003707, Celsius: 57, A: +8.10, rev/s: +0.039,  rev: +5.131
2024/04/15 15:12:02 ID: 241, Data: 9C3929030F003707, Celsius: 57, A: +8.09, rev/s: +0.042,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3A2B03DCFF3707, Celsius: 58, A: +8.11, rev/s: -0.100,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3A270312003707, Celsius: 58, A: +8.07, rev/s: +0.050,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3A29030A003707, Celsius: 58, A: +8.09, rev/s: +0.028,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3A25030C003707, Celsius: 58, A: +8.05, rev/s: +0.033,  rev: +5.131
