2024/04/17 13:17:19 ID: 241, Data: 9C297503F4FF3D05, Celsius: 41, A: +8.85, rev/s: -0.033,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2A73030D003D05, Celsius: 42, A: +8.83, rev/s: +0.036,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2A730304003D05, Celsius: 42, A: +8.83, rev/s: +0.011,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2B7303E7FF3D05, Celsius: 43, A: +8.83, rev/s: -0.069,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2B700314003D05, Celsius: 43, A: +8.80, rev/s: +0.056,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2B6F030D003D05, Celsius: 43, A: +8.79, rev/s: +0.036,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2C6E030F003D05, Celsius: 44, A: +8.78, rev/s: +0.042,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2C6E0307003D05, Celsius: 44, A: +8.78, rev/s: +0.019,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2C6D0300003D05, Celsius: 44, A: +8.77, rev/s: +0.000,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2D6B03F9FF3D05, Celsius: 45, A: +8.75, rev/s: -0.019,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2D6C03FAFF3D05, Celsius: 45, A: +8.76, rev/s: -0.017,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2E6B03F0FF3D05, Celsius: 46, A: +8.75, rev/s: -0.044,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2E69031E003D05, Celsius: 46, A: +8.73, rev/s: +0.083,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2F680308003D05, Celsius: 47, A: +8.72, rev/s: +0.022,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2F670315003D05, Celsius: 47, A: +8.71, rev/s: +0.058,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C2F6703F9FF3D05, Celsius: 47, A: +8.71, rev/s: -0.019,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C306703EEFF3D05, Celsius: 48, A: +8.71, rev/s: -0.050,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C30630304003D05, Celsius: 48, A: +8.67, rev/s: +0.011,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C3063030E003D05, Celsius: 48, A: +8.67, rev/s: +0.039,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C316203F7FF3D05, Celsius: 49, A: +8.66, rev/s: -0.025,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C31620312003D05, Celsius: 49, A: +8.66, rev/s: +0.050,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C325F0306003D05, Celsius: 50, A: +8.63, rev/s: +0.017,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C326203EFFF3D05, Celsius: 50, A: +8.66, rev/s: -0.047,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C326003F3FF3D05, Celsius: 50, A: +8.64, rev/s: -0.036,  rev: +3.725
2024/04/17 13:17:21 ID: 241, Data: 9C335F0304003D05, Celsius: 51, A: +8.63, rev/s: +0.011,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C335F0307003D05, Celsius: 51, A: +8.63, rev/s: +0.019,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C335D0304003D05, Celsius: 51, A: +8.61, rev/s: +0.011,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C345D03FBFF3D05, Celsius: 52, A: +8.61, rev/s: -0.014,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C345A0308003D05, Celsius: 52, A: +8.58, rev/s: +0.022,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C345A03F6FF3D05, Celsius: 52, A: +8.58, rev/s: -0.028,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C355A03FDFF3D05, Celsius: 53, A: +8.58, rev/s: -0.008,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C36580308003D05, Celsius: 54, A: +8.56, rev/s: +0.022,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C36580312003D05, Celsius: 54, A: +8.56, rev/s: +0.050,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C365903E8FF3D05, Celsius: 54, A: +8.57, rev/s: -0.067,  rev: +3.725
2024/04/17 13:17:22 ID: 241, Data: 9C36560304003D05, Celsius: 54, A: +8.54, rev/s: +0.011,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C365703D8FF3D05, Celsius: 54, A: +8.55, rev/s: -0.111,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C3755030B003D05, Celsius: 55, A: +8.53, rev/s: +0.031,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C37540306003D05, Celsius: 55, A: +8.52, rev/s: +0.017,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C385503FBFF3D05, Celsius: 56, A: +8.53, rev/s: -0.014,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C385303FAFF3D05, Celsius: 56, A: +8.51, rev/s: -0.017,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C385203F8FF3D05, Celsius: 56, A: +8.50, rev/s: -0.022,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C395203FEFF3D05, Celsius: 57, A: +8.50, rev/s: -0.006,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C395003F5FF3D05, Celsius: 57, A: +8.48, rev/s: -0.031,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C3950030E003D05, Celsius: 57, A: +8.48, rev/s: +0.039,  rev: +3.725
2024/04/17 13:17:23 ID: 241, Data: 9C3A560305003E05, Celsius: 58, A: +8.54, rev/s: +0.014,  rev: +3.728
2024/04/17 13:17:24 ID: 241, Data: 9C3AFC022F025105, Celsius: 58, A: +7.64, rev/s: +1.553,  rev: +3.781
2024/04/17 13:17:24 ID: 241, Data: 9C3ABE02D101B005, Celsius: 58, A: +7.02, rev/s: +1.292,  rev: +4.044
2024/04/17 13:17:24 ID: 241, Data: 9C3BF902CF011906, Celsius: 59, A: +7.61, rev/s: +1.286,  rev: +4.336
2024/04/17 13:17:24 ID: 241, Data: 9C3BBF028B013A06, Celsius: 59, A: +7.03, rev/s: +1.097,  rev: +4.428
