2024/04/17 13:44:45 ID: 241, Data: 9C2CB500B6FFFA11, Celsius: 44, A: +1.81, rev/s: -0.206,  rev: +12.783
2024/04/17 13:44:45 ID: 241, Data: 9C2CBF004DFFEF11, Celsius: 44, A: +1.91, rev/s: -0.497,  rev: +12.753
2024/04/17 13:44:45 ID: 241, Data: 9C2CD100B2FFE411, Celsius: 44, A: +2.09, rev/s: -0.217,  rev: +12.722
2024/04/17 13:44:45 ID: 241, Data: 9C2CBD0054FFD911, Celsius: 44, A: +1.89, rev/s: -0.478,  rev: +12.692
2024/04/17 13:44:45 ID: 241, Data: 9C2CEC00A8FFCC11, Celsius: 44, A: +2.36, rev/s: -0.244,  rev: +12.656
2024/04/17 13:44:45 ID: 241, Data: 9C2CBC0066FFC411, Celsius: 44, A: +1.88, rev/s: -0.428,  rev: +12.633
2024/04/17 13:44:45 ID: 241, Data: 9C2CFB009BFFB611, Celsius: 44, A: +2.51, rev/s: -0.281,  rev: +12.594
2024/04/17 13:44:45 ID: 241, Data: 9C2CC80077FFAE11, Celsius: 44, A: +2.00, rev/s: -0.381,  rev: +12.572
2024/04/17 13:44:46 ID: 241, Data: 9C2CF600BDFFA011, Celsius: 44, A: +2.46, rev/s: -0.186,  rev: +12.533
2024/04/17 13:44:46 ID: 241, Data: 9C2CA700A3FF9811, Celsius: 44, A: +1.67, rev/s: -0.258,  rev: +12.511
2024/04/17 13:44:46 ID: 241, Data: 9C2CB300A8FF8B11, Celsius: 44, A: +1.79, rev/s: -0.244,  rev: +12.475
2024/04/17 13:44:46 ID: 241, Data: 9C2D8B0088FF8111, Celsius: 45, A: +1.39, rev/s: -0.333,  rev: +12.447
2024/04/17 13:44:46 ID: 241, Data: 9C2C9600A4FF7511, Celsius: 44, A: +1.50, rev/s: -0.256,  rev: +12.414
2024/04/17 13:44:46 ID: 241, Data: 9C2D8D004FFF6A11, Celsius: 45, A: +1.41, rev/s: -0.492,  rev: +12.383
2024/04/17 13:44:46 ID: 241, Data: 9C2D8C00B3FF5F11, Celsius: 45, A: +1.40, rev/s: -0.214,  rev: +12.353
2024/04/17 13:44:46 ID: 241, Data: 9C2D89007BFF5411, Celsius: 45, A: +1.37, rev/s: -0.369,  rev: +12.322
