2024/04/15 13:51:57 ID: 241, Data: 9C30AFFCD5FFC9FE, Celsius: 48, A: -8.49, rev/s: -0.119,  rev: -0.864
2024/04/15 13:51:57 ID: 241, Data: 9C30B3FC2C00C9FE, Celsius: 48, A: -8.45, rev/s: +0.122,  rev: -0.864
2024/04/15 13:51:57 ID: 241, Data: 9C30B5FC2900C9FE, Celsius: 48, A: -8.43, rev/s: +0.114,  rev: -0.864
2024/04/15 13:51:57 ID: 241, Data: 9C30B5FC0400C9FE, Celsius: 48, A: -8.43, rev/s: +0.011,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C30B9FCFFFFC9FE, Celsius: 48, A: -8.39, rev/s: -0.003,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C31BCFCDAFFC9FE, Celsius: 49, A: -8.36, rev/s: -0.106,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C31BAFC0700C9FE, Celsius: 49, A: -8.38, rev/s: +0.019,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C31BCFC4200C9FE, Celsius: 49, A: -8.36, rev/s: +0.183,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C31BDFCDDFFC9FE, Celsius: 49, A: -8.35, rev/s: -0.097,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C31BCFC3100C9FE, Celsius: 49, A: -8.36, rev/s: +0.136,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C31C3FCD8FFC9FE, Celsius: 49, A: -8.29, rev/s: -0.111,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C32C3FCFAFFC9FE, Celsius: 50, A: -8.29, rev/s: -0.017,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C32C4FCF2FFC9FE, Celsius: 50, A: -8.28, rev/s: -0.039,  rev: -0.864
2024/04/15 13:51:58 ID: 241, Data: 9C32C6FCF2FFC9FE, Celsius: 50, A: -8.26, rev/s: -0.039,  rev: -0.864
2024/04/15 13:51:59 ID: 241, Data: 9C32BFFC1F00C9FE, Celsius: 50, A: -8.33, rev/s: +0.086,  rev: -0.864
2024/04/15 13:51:59 ID: 241, Data: 9C33C8FC2200C9FE, Celsius: 51, A: -8.24, rev/s: +0.094,  rev: -0.864
2024/04/15 13:51:59 ID: 241, Data: 9C33C8FC0000C9FE, Celsius: 51, A: -8.24, rev/s: +0.000,  rev: -0.864
2024/04/15 13:51:59 ID: 241, Data: 9C33C7FC2100C9FE, Celsius: 51, A: -8.25, rev/s: +0.092,  rev: -0.864
2024/04/15 13:51:59 ID: 241, Data: 9C33CBFC2B00C9FE, Celsius: 51, A: -8.21, rev/s: +0.119,  rev: -0.864
2024/04/15 13:51:59 ID: 241, Data: 9C33CBFC1400C9FE, Celsius: 51, A: -8.21, rev/s: +0.056,  rev: -0.864
2024/04/15 13:51:59 ID: 241, Data: 9C33CCFCE1FFC8FE, Celsius: 51, A: -8.20, rev/s: -0.086,  rev: -0.867
