2024/04/15 13:30:51 ID: 241, Data: 9C23F2FF8BFF0AFE, Celsius: 35, A: -0.14, rev/s: -0.325,  rev: -1.394
2024/04/15 13:30:51 ID: 241, Data: 9C24FAFF4BFFFFFD, Celsius: 36, A: -0.06, rev/s: -0.503,  rev: -1.425
2024/04/15 13:30:51 ID: 241, Data: 9C232E00CBFFF0FD, Celsius: 35, A: +0.46, rev/s: -0.147,  rev: -1.467
2024/04/15 13:30:51 ID: 241, Data: 9C23D40059FFE3FD, Celsius: 35, A: +2.12, rev/s: -0.464,  rev: -1.503
2024/04/15 13:30:51 ID: 241, Data: 9C243401F9FFD9FD, Celsius: 36, A: +3.08, rev/s: -0.019,  rev: -1.531
2024/04/15 13:30:52 ID: 241, Data: 9C241201D9FFD2FD, Celsius: 36, A: +2.74, rev/s: -0.108,  rev: -1.550
2024/04/15 13:30:52 ID: 241, Data: 9C24D20081FFC9FD, Celsius: 36, A: +2.10, rev/s: -0.353,  rev: -1.575
2024/04/15 13:30:52 ID: 241, Data: 9C241801CEFFBAFD, Celsius: 36, A: +2.80, rev/s: -0.139,  rev: -1.617
2024/04/15 13:30:52 ID: 241, Data: 9C24AA00D1FFB4FD, Celsius: 36, A: +1.70, rev/s: -0.131,  rev: -1.633
2024/04/15 13:30:52 ID: 241, Data: 9C243A0082FFA9FD, Celsius: 36, A: +0.58, rev/s: -0.350,  rev: -1.664
2024/04/15 13:30:52 ID: 241, Data: 9C2334004FFF99FD, Celsius: 35, A: +0.52, rev/s: -0.492,  rev: -1.708
2024/04/15 13:30:52 ID: 241, Data: 9C242E0060FF8FFD, Celsius: 36, A: +0.46, rev/s: -0.444,  rev: -1.736
2024/04/15 13:30:52 ID: 241, Data: 9C237900D2FF81FD, Celsius: 35, A: +1.21, rev/s: -0.128,  rev: -1.775
2024/04/15 13:30:52 ID: 241, Data: 9C24D90044FF77FD, Celsius: 36, A: +2.17, rev/s: -0.522,  rev: -1.803
2024/04/15 13:30:52 ID: 241, Data: 9C24E9009BFF6CFD, Celsius: 36, A: +2.33, rev/s: -0.281,  rev: -1.833
2024/04/15 13:30:53 ID: 241, Data: 9C24DF00B0FF63FD, Celsius: 36, A: +2.23, rev/s: -0.222,  rev: -1.858
2024/04/15 13:30:53 ID: 241, Data: 9C24CC00A5FF59FD, Celsius: 36, A: +2.04, rev/s: -0.253,  rev: -1.886
2024/04/15 13:30:53 ID: 241, Data: 9C24C4004DFF4DFD, Celsius: 36, A: +1.96, rev/s: -0.497,  rev: -1.919
2024/04/15 13:30:53 ID: 241, Data: 9C24B200C5FF42FD, Celsius: 36, A: +1.78, rev/s: -0.164,  rev: -1.950
2024/04/15 13:30:53 ID: 241, Data: 9C248400BCFF38FD, Celsius: 36, A: +1.32, rev/s: -0.189,  rev: -1.978
2024/04/15 13:30:53 ID: 241, Data: 9C24520048FF2DFD, Celsius: 36, A: +0.82, rev/s: -0.511,  rev: -2.008
2024/04/15 13:30:53 ID: 241, Data: 9C245C005AFF20FD, Celsius: 36, A: +0.92, rev/s: -0.461,  rev: -2.044
2024/04/15 13:30:53 ID: 241, Data: 9C247F0086FF14FD, Celsius: 36, A: +1.27, rev/s: -0.339,  rev: -2.078
2024/04/15 13:30:53 ID: 241, Data: 9C24B200A3FF08FD, Celsius: 36, A: +1.78, rev/s: -0.258,  rev: -2.111
2024/04/15 13:30:54 ID: 241, Data: 9C24EE006FFFFDFC, Celsius: 36, A: +2.38, rev/s: -0.403,  rev: -2.142
2024/04/15 13:30:54 ID: 241, Data: 9C24B400BEFFF6FC, Celsius: 36, A: +1.80, rev/s: -0.183,  rev: -2.161
2024/04/15 13:30:54 ID: 241, Data: 9C246C0056FFEBFC, Celsius: 36, A: +1.08, rev/s: -0.472,  rev: -2.192
2024/04/15 13:30:54 ID: 241, Data: 9C2400019DFFD9FC, Celsius: 36, A: +2.56, rev/s: -0.275,  rev: -2.242
2024/04/15 13:30:54 ID: 241, Data: 9C24D200E3FFD4FC, Celsius: 36, A: +2.10, rev/s: -0.081,  rev: -2.256
2024/04/15 13:30:54 ID: 241, Data: 9C24570087FFCBFC, Celsius: 36, A: +0.87, rev/s: -0.336,  rev: -2.281
2024/04/15 13:30:54 ID: 241, Data: 9C244D0082FFBEFC, Celsius: 36, A: +0.77, rev/s: -0.350,  rev: -2.317
2024/04/15 13:30:54 ID: 241, Data: 9C240C00EEFFB3FC, Celsius: 36, A: +0.12, rev/s: -0.050,  rev: -2.347
2024/04/15 13:30:54 ID: 241, Data: 9C244E0073FFA5FC, Celsius: 36, A: +0.78, rev/s: -0.392,  rev: -2.386
2024/04/15 13:30:54 ID: 241, Data: 9C2469009BFF9AFC, Celsius: 36, A: +1.05, rev/s: -0.281,  rev: -2.417
2024/04/15 13:30:55 ID: 241, Data: 9C24A20082FF8EFC, Celsius: 36, A: +1.62, rev/s: -0.350,  rev: -2.450
2024/04/15 13:30:55 ID: 241, Data: 9C24AA0097FF84FC, Celsius: 36, A: +1.70, rev/s: -0.292,  rev: -2.478
2024/04/15 13:30:55 ID: 241, Data: 9C24E9008BFF78FC, Celsius: 36, A: +2.33, rev/s: -0.325,  rev: -2.511
2024/04/15 13:30:55 ID: 241, Data: 9C244A01D1FF6CFC, Celsius: 36, A: +3.30, rev/s: -0.131,  rev: -2.544
2024/04/15 13:30:55 ID: 241, Data: 9C24AE00D0FF69FC, Celsius: 36, A: +1.74, rev/s: -0.133,  rev: -2.553
2024/04/15 13:30:55 ID: 241, Data: 9C2477004FFF5AFC, Celsius: 36, A: +1.19, rev/s: -0.492,  rev: -2.594
2024/04/15 13:30:55 ID: 241, Data: 9C24DB00A1FF4CFC, Celsius: 36, A: +2.19, rev/s: -0.264,  rev: -2.633
2024/04/15 13:30:55 ID: 241, Data: 9C24240089FF47FC, Celsius: 36, A: +0.36, rev/s: -0.331,  rev: -2.647
2024/04/15 13:30:55 ID: 241, Data: 9C244A0055FF38FC, Celsius: 36, A: +0.74, rev/s: -0.475,  rev: -2.689
2024/04/15 13:30:55 ID: 241, Data: 9C24440086FF2CFC, Celsius: 36, A: +0.68, rev/s: -0.339,  rev: -2.722
2024/04/15 13:30:56 ID: 241, Data: 9C246F00ADFF20FC, Celsius: 36, A: +1.11, rev/s: -0.231,  rev: -2.756
2024/04/15 13:30:56 ID: 241, Data: 9C249C0085FF15FC, Celsius: 36, A: +1.56, rev/s: -0.342,  rev: -2.786
2024/04/15 13:30:56 ID: 241, Data: 9C249500CDFF0AFC, Celsius: 36, A: +1.49, rev/s: -0.142,  rev: -2.817
2024/04/15 13:30:56 ID: 241, Data: 9C24B40082FF00FC, Celsius: 36, A: +1.80, rev/s: -0.350,  rev: -2.844
2024/04/15 13:30:56 ID: 241, Data: 9C24AE0048FFF5FB, Celsius: 36, A: +1.74, rev/s: -0.511,  rev: -2.875
2024/04/15 13:30:56 ID: 241, Data: 9C24D90090FFE9FB, Celsius: 36, A: +2.17, rev/s: -0.311,  rev: -2.908
2024/04/15 13:30:56 ID: 241, Data: 9C24D1008EFFE0FB, Celsius: 36, A: +2.09, rev/s: -0.317,  rev: -2.933
2024/04/15 13:30:56 ID: 241, Data: 9C24870054FFD6FB, Celsius: 36, A: +1.35, rev/s: -0.478,  rev: -2.961
2024/04/15 13:30:56 ID: 241, Data: 9C242F000500CBFB, Celsius: 36, A: +0.47, rev/s: +0.014,  rev: -2.992
2024/04/15 13:30:56 ID: 241, Data: 9C24200067FFBFFB, Celsius: 36, A: +0.32, rev/s: -0.425,  rev: -3.025
2024/04/15 13:30:57 ID: 241, Data: 9C24470099FFB1FB, Celsius: 36, A: +0.71, rev/s: -0.286,  rev: -3.064
2024/04/15 13:30:57 ID: 241, Data: 9C244F009FFFA7FB, Celsius: 36, A: +0.79, rev/s: -0.269,  rev: -3.092
2024/04/15 13:30:57 ID: 241, Data: 9C24780069FF9BFB, Celsius: 36, A: +1.20, rev/s: -0.419,  rev: -3.125
2024/04/15 13:30:57 ID: 241, Data: 9C249900ADFF90FB, Celsius: 36, A: +1.53, rev/s: -0.231,  rev: -3.156
2024/04/15 13:30:57 ID: 241, Data: 9C246200C7FF88FB, Celsius: 36, A: +0.98, rev/s: -0.158,  rev: -3.178
2024/04/15 13:30:57 ID: 241, Data: 9C2403006FFF7EFB, Celsius: 36, A: +0.03, rev/s: -0.403,  rev: -3.206
2024/04/15 13:30:57 ID: 241, Data: 9C24000085FF70FB, Celsius: 36, A: +0.00, rev/s: -0.342,  rev: -3.244
2024/04/15 13:30:57 ID: 241, Data: 9C24FAFFBEFF64FB, Celsius: 36, A: -0.06, rev/s: -0.183,  rev: -3.278
2024/04/15 13:30:57 ID: 241, Data: 9C24FEFF87FF59FB, Celsius: 36, A: -0.02, rev/s: -0.336,  rev: -3.308
2024/04/15 13:30:58 ID: 241, Data: 9C24140065FF4DFB, Celsius: 36, A: +0.20, rev/s: -0.431,  rev: -3.342
2024/04/15 13:30:58 ID: 241, Data: 9C244000B1FF42FB, Celsius: 36, A: +0.64, rev/s: -0.219,  rev: -3.372
2024/04/15 13:30:58 ID: 241, Data: 9C2416007FFF39FB, Celsius: 36, A: +0.22, rev/s: -0.358,  rev: -3.397
2024/04/15 13:30:58 ID: 241, Data: 9C241D007FFF2DFB, Celsius: 36, A: +0.29, rev/s: -0.358,  rev: -3.431
2024/04/15 13:30:58 ID: 241, Data: 9C242200B4FF22FB, Celsius: 36, A: +0.34, rev/s: -0.211,  rev: -3.461
2024/04/15 13:30:58 ID: 241, Data: 9C240000A2FF18FB, Celsius: 36, A: +0.00, rev/s: -0.261,  rev: -3.489
2024/04/15 13:30:58 ID: 241, Data: 9C240300A4FF0BFB, Celsius: 36, A: +0.03, rev/s: -0.256,  rev: -3.525
2024/04/15 13:30:58 ID: 241, Data: 9C2429009AFF00FB, Celsius: 36, A: +0.41, rev/s: -0.283,  rev: -3.556
2024/04/15 13:30:58 ID: 241, Data: 9C2480004EFFF2FA, Celsius: 36, A: +1.28, rev/s: -0.494,  rev: -3.594
2024/04/15 13:30:58 ID: 241, Data: 9C245100D7FFECFA, Celsius: 36, A: +0.81, rev/s: -0.114,  rev: -3.611
2024/04/15 13:30:59 ID: 241, Data: 9C240F00A7FFE2FA, Celsius: 36, A: +0.15, rev/s: -0.247,  rev: -3.639
2024/04/15 13:30:59 ID: 241, Data: 9C24190083FFD4FA, Celsius: 36, A: +0.25, rev/s: -0.347,  rev: -3.678
2024/04/15 13:30:59 ID: 241, Data: 9C241000ADFFC9FA, Celsius: 36, A: +0.16, rev/s: -0.231,  rev: -3.708
2024/04/15 13:30:59 ID: 241, Data: 9C24F1FFA3FFBFFA, Celsius: 36, A: -0.15, rev/s: -0.258,  rev: -3.736
2024/04/15 13:30:59 ID: 241, Data: 9C24FDFF0BFFB3FA, Celsius: 36, A: -0.03, rev/s: -0.681,  rev: -3.769
2024/04/15 13:30:59 ID: 241, Data: 9C24E0FFC2FFA8FA, Celsius: 36, A: -0.32, rev/s: -0.172,  rev: -3.800
2024/04/15 13:30:59 ID: 241, Data: 9C24FAFF61FF9DFA, Celsius: 36, A: -0.06, rev/s: -0.442,  rev: -3.831
2024/04/15 13:30:59 ID: 241, Data: 9C2452009CFF8FFA, Celsius: 36, A: +0.82, rev/s: -0.278,  rev: -3.869
2024/04/15 13:30:59 ID: 241, Data: 9C249900B3FF84FA, Celsius: 36, A: +1.53, rev/s: -0.214,  rev: -3.900
2024/04/15 13:30:59 ID: 241, Data: 9C241C00A2FF7FFA, Celsius: 36, A: +0.28, rev/s: -0.261,  rev: -3.914
2024/04/15 13:31:00 ID: 241, Data: 9C24020029FF71FA, Celsius: 36, A: +0.02, rev/s: -0.597,  rev: -3.953
2024/04/15 13:31:00 ID: 241, Data: 9C24F3FF7AFF66FA, Celsius: 36, A: -0.13, rev/s: -0.372,  rev: -3.983
2024/04/15 13:31:00 ID: 241, Data: 9C24010064FF5AFA, Celsius: 36, A: +0.01, rev/s: -0.433,  rev: -4.017
2024/04/15 13:31:00 ID: 241, Data: 9C240600A4FF4FFA, Celsius: 36, A: +0.06, rev/s: -0.256,  rev: -4.047
2024/04/15 13:31:00 ID: 241, Data: 9C24EEFF7BFF45FA, Celsius: 36, A: -0.18, rev/s: -0.369,  rev: -4.075
