2024/04/15 14:25:04 ID: 241, Data: 9C30F402070024EF, Celsius: 48, A: +7.56, rev/s: +0.019,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C30F202070024EF, Celsius: 48, A: +7.54, rev/s: +0.019,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C31F302050024EF, Celsius: 49, A: +7.55, rev/s: +0.014,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C31F002F9FF24EF, Celsius: 49, A: +7.52, rev/s: -0.019,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C31F002000024EF, Celsius: 49, A: +7.52, rev/s: +0.000,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C31EF020D0024EF, Celsius: 49, A: +7.51, rev/s: +0.036,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C31F002FBFF24EF, Celsius: 49, A: +7.52, rev/s: -0.014,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C32ED020B0024EF, Celsius: 50, A: +7.49, rev/s: +0.031,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C32ED02FBFF24EF, Celsius: 50, A: +7.49, rev/s: -0.014,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C32ED02070024EF, Celsius: 50, A: +7.49, rev/s: +0.019,  rev: -11.989
2024/04/15 14:25:05 ID: 241, Data: 9C32EE02000024EF, Celsius: 50, A: +7.50, rev/s: +0.000,  rev: -11.989
2024/04/15 14:25:06 ID: 241, Data: 9C32EE020B0024EF, Celsius: 50, A: +7.50, rev/s: +0.031,  rev: -11.989
2024/04/15 14:25:06 ID: 241, Data: 9C33ED02070024EF, Celsius: 51, A: +7.49, rev/s: +0.019,  rev: -11.989
2024/04/15 14:25:06 ID: 241, Data: 9C33EC02040024EF, Celsius: 51, A: +7.48, rev/s: +0.011,  rev: -11.989
2024/04/15 14:25:06 ID: 241, Data: 9C33EB02F0FF24EF, Celsius: 51, A: +7.47, rev/s: -0.044,  rev: -11.989
2024/04/15 14:25:06 ID: 241, Data: 9C33EA02FFFF24EF, Celsius: 51, A: +7.46, rev/s: -0.003,  rev: -11.989
