2024/04/15 13:59:50 ID: 241, Data: 9C2E2003F2FF8F02, Celsius: 46, A: +8.00, rev/s: -0.039,  rev: +1.819
2024/04/15 13:59:50 ID: 241, Data: 9C2E1F03EBFF8F02, Celsius: 46, A: +7.99, rev/s: -0.058,  rev: +1.819
2024/04/15 13:59:50 ID: 241, Data: 9C2E1E03F1FF8F02, Celsius: 46, A: +7.98, rev/s: -0.042,  rev: +1.819
2024/04/15 13:59:50 ID: 241, Data: 9C2E1C030A008F02, Celsius: 46, A: +7.96, rev/s: +0.028,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2E1C0305008F02, Celsius: 46, A: +7.96, rev/s: +0.014,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2E19030D008F02, Celsius: 46, A: +7.93, rev/s: +0.036,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2F1A0302008F02, Celsius: 47, A: +7.94, rev/s: +0.006,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2E1A03F5FF8F02, Celsius: 46, A: +7.94, rev/s: -0.031,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2E1903FAFF8F02, Celsius: 46, A: +7.93, rev/s: -0.017,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2E18031B008F02, Celsius: 46, A: +7.92, rev/s: +0.075,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2E1803EDFF8F02, Celsius: 46, A: +7.92, rev/s: -0.053,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2E1703F4FF8F02, Celsius: 46, A: +7.91, rev/s: -0.033,  rev: +1.819
2024/04/15 13:59:51 ID: 241, Data: 9C2E160313008F02, Celsius: 46, A: +7.90, rev/s: +0.053,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2E1503FCFF8F02, Celsius: 46, A: +7.89, rev/s: -0.011,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2E1603EEFF8F02, Celsius: 46, A: +7.90, rev/s: -0.050,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2E1403F4FF8F02, Celsius: 46, A: +7.88, rev/s: -0.033,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2F1503F3FF8F02, Celsius: 47, A: +7.89, rev/s: -0.036,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2E1303F2FF8F02, Celsius: 46, A: +7.87, rev/s: -0.039,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2E110306008F02, Celsius: 46, A: +7.85, rev/s: +0.017,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2E130304008F02, Celsius: 46, A: +7.87, rev/s: +0.011,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2F1103FCFF8F02, Celsius: 47, A: +7.85, rev/s: -0.011,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2E11030E008F02, Celsius: 46, A: +7.85, rev/s: +0.039,  rev: +1.819
2024/04/15 13:59:52 ID: 241, Data: 9C2E0F03FAFF8F02, Celsius: 46, A: +7.83, rev/s: -0.017,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2E0F0309008F02, Celsius: 46, A: +7.83, rev/s: +0.025,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2E0F0303008F02, Celsius: 46, A: +7.83, rev/s: +0.008,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2F0D031F008F02, Celsius: 47, A: +7.81, rev/s: +0.086,  rev: +1.819
