2024/04/15 13:48:57 ID: 241, Data: 9C2DD5FE74FF4310, Celsius: 45, A: -2.99, rev/s: -0.389,  rev: +11.564
2024/04/15 13:48:57 ID: 241, Data: 9C2E6DFEDEFF3810, Celsius: 46, A: -4.03, rev/s: -0.094,  rev: +11.533
2024/04/15 13:48:57 ID: 241, Data: 9C2E68FE14FF2B10, Celsius: 46, A: -4.08, rev/s: -0.656,  rev: +11.497
2024/04/15 13:48:57 ID: 241, Data: 9C2E52FE90FF1F10, Celsius: 46, A: -4.30, rev/s: -0.311,  rev: +11.464
2024/04/15 13:48:57 ID: 241, Data: 9C2EE3FEDAFF1110, Celsius: 46, A: -2.85, rev/s: -0.106,  rev: +11.425
2024/04/15 13:48:57 ID: 241, Data: 9C2E19FFA3FF0810, Celsius: 46, A: -2.31, rev/s: -0.258,  rev: +11.400
2024/04/15 13:48:58 ID: 241, Data: 9C2E31FFB2FFFE0F, Celsius: 46, A: -2.07, rev/s: -0.217,  rev: +11.372
2024/04/15 13:48:58 ID: 241, Data: 9C2E31FF33FFF40F, Celsius: 46, A: -2.07, rev/s: -0.569,  rev: +11.344
2024/04/15 13:48:58 ID: 241, Data: 9C2E7EFFABFFE70F, Celsius: 46, A: -1.30, rev/s: -0.236,  rev: +11.308
2024/04/15 13:48:58 ID: 241, Data: 9C2E9DFF6CFFDD0F, Celsius: 46, A: -0.99, rev/s: -0.411,  rev: +11.281
2024/04/15 13:48:58 ID: 241, Data: 9C2E7EFF0CFFD30F, Celsius: 46, A: -1.30, rev/s: -0.678,  rev: +11.253
2024/04/15 13:48:58 ID: 241, Data: 9C2E03FFC4FFC90F, Celsius: 46, A: -2.53, rev/s: -0.167,  rev: +11.225
2024/04/15 13:48:58 ID: 241, Data: 9C2EE9FE44FFBE0F, Celsius: 46, A: -2.79, rev/s: -0.522,  rev: +11.194
2024/04/15 13:48:58 ID: 241, Data: 9C2E96FE8CFFB30F, Celsius: 46, A: -3.62, rev/s: -0.322,  rev: +11.164
2024/04/15 13:48:58 ID: 241, Data: 9C2EC0FDE7FEAB0F, Celsius: 46, A: -5.76, rev/s: -0.781,  rev: +11.142
2024/04/15 13:48:59 ID: 241, Data: 9C2ECDFD0DFF980F, Celsius: 46, A: -5.63, rev/s: -0.675,  rev: +11.089
2024/04/15 13:48:59 ID: 241, Data: 9C2E88FFB4FF810F, Celsius: 46, A: -1.20, rev/s: -0.211,  rev: +11.025
2024/04/15 13:48:59 ID: 241, Data: 9C2EDCFFF0FF800F, Celsius: 46, A: -0.36, rev/s: -0.044,  rev: +11.022
