2024/04/15 14:49:25 ID: 241, Data: 9C33DDFCF7FF3A08, Celsius: 51, A: -8.03, rev/s: -0.025,  rev: +5.850
2024/04/15 14:49:25 ID: 241, Data: 9C33DBFC22003A08, Celsius: 51, A: -8.05, rev/s: +0.094,  rev: +5.850
2024/04/15 14:49:25 ID: 241, Data: 9C33DDFC01003A08, Celsius: 51, A: -8.03, rev/s: +0.003,  rev: +5.850
2024/04/15 14:49:25 ID: 241, Data: 9C33E1FCF5FF3A08, Celsius: 51, A: -7.99, rev/s: -0.031,  rev: +5.850
2024/04/15 14:49:25 ID: 241, Data: 9C33DAFC04003A08, Celsius: 51, A: -8.06, rev/s: +0.011,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C33D8FCF7FF3A08, Celsius: 51, A: -8.08, rev/s: -0.025,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C33DCFC08003A08, Celsius: 51, A: -8.04, rev/s: +0.022,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C33D6FCF3FF3A08, Celsius: 51, A: -8.10, rev/s: -0.036,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C33DAFCFCFF3A08, Celsius: 51, A: -8.06, rev/s: -0.011,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C34D2FCEDFF3A08, Celsius: 52, A: -8.14, rev/s: -0.053,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C34D3FC02003A08, Celsius: 52, A: -8.13, rev/s: +0.006,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C34D8FCEEFF3A08, Celsius: 52, A: -8.08, rev/s: -0.050,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C34D4FC10003A08, Celsius: 52, A: -8.12, rev/s: +0.044,  rev: +5.850
2024/04/15 14:49:26 ID: 241, Data: 9C34D8FC0B003A08, Celsius: 52, A: -8.08, rev/s: +0.031,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C34D4FCF6FF3A08, Celsius: 52, A: -8.12, rev/s: -0.028,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C34D2FC1A003A08, Celsius: 52, A: -8.14, rev/s: +0.072,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C34D4FC06003A08, Celsius: 52, A: -8.12, rev/s: +0.017,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C34D6FCEFFF3A08, Celsius: 52, A: -8.10, rev/s: -0.047,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C34D2FC05003A08, Celsius: 52, A: -8.14, rev/s: +0.014,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C34D2FCFFFF3A08, Celsius: 52, A: -8.14, rev/s: -0.003,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C34D2FCFFFF3A08, Celsius: 52, A: -8.14, rev/s: -0.003,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C35CFFCF5FF3A08, Celsius: 53, A: -8.17, rev/s: -0.031,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C35D0FC14003A08, Celsius: 53, A: -8.16, rev/s: +0.056,  rev: +5.850
2024/04/15 14:49:27 ID: 241, Data: 9C35CEFCE9FF3A08, Celsius: 53, A: -8.18, rev/s: -0.064,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C35D2FC0F003A08, Celsius: 53, A: -8.14, rev/s: +0.042,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C35CBFC03003A08, Celsius: 53, A: -8.21, rev/s: +0.008,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C35CFFCF1FF3A08, Celsius: 53, A: -8.17, rev/s: -0.042,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C35CDFC07003A08, Celsius: 53, A: -8.19, rev/s: +0.019,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C35CDFC08003A08, Celsius: 53, A: -8.19, rev/s: +0.022,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C35CFFC01003A08, Celsius: 53, A: -8.17, rev/s: +0.003,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C35CCFC07003A08, Celsius: 53, A: -8.20, rev/s: +0.019,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C36CCFC09003A08, Celsius: 54, A: -8.20, rev/s: +0.025,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C36CCFC00003A08, Celsius: 54, A: -8.20, rev/s: +0.000,  rev: +5.850
2024/04/15 14:49:28 ID: 241, Data: 9C36CCFC03003A08, Celsius: 54, A: -8.20, rev/s: +0.008,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C36CCFC09003A08, Celsius: 54, A: -8.20, rev/s: +0.025,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C36C9FCFAFF3A08, Celsius: 54, A: -8.23, rev/s: -0.017,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C36C7FCFFFF3A08, Celsius: 54, A: -8.25, rev/s: -0.003,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C36C6FC00003A08, Celsius: 54, A: -8.26, rev/s: +0.000,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C36CAFCF1FF3A08, Celsius: 54, A: -8.22, rev/s: -0.042,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C36CAFC00003A08, Celsius: 54, A: -8.22, rev/s: +0.000,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C36CAFCECFF3A08, Celsius: 54, A: -8.22, rev/s: -0.056,  rev: +5.850
