2024/04/15 15:22:05 ID: 241, Data: 9C263D03FDFF3307, Celsius: 38, A: +8.29, rev/s: -0.008,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C263C031D003307, Celsius: 38, A: +8.28, rev/s: +0.081,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C263D03FBFF3307, Celsius: 38, A: +8.29, rev/s: -0.014,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C263D0303003307, Celsius: 38, A: +8.29, rev/s: +0.008,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C273C03FCFF3307, Celsius: 39, A: +8.28, rev/s: -0.011,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C273B0306003307, Celsius: 39, A: +8.27, rev/s: +0.017,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C27390315003307, Celsius: 39, A: +8.25, rev/s: +0.058,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C283703F5FF3307, Celsius: 40, A: +8.23, rev/s: -0.031,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C283703EAFF3307, Celsius: 40, A: +8.23, rev/s: -0.061,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C293A030F003307, Celsius: 41, A: +8.26, rev/s: +0.042,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C293603FEFF3307, Celsius: 41, A: +8.22, rev/s: -0.006,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C293503FCFF3307, Celsius: 41, A: +8.21, rev/s: -0.011,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C29370305003307, Celsius: 41, A: +8.23, rev/s: +0.014,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C2A3603FFFF3307, Celsius: 42, A: +8.22, rev/s: -0.003,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C2A3203F2FF3307, Celsius: 42, A: +8.18, rev/s: -0.039,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C2B36030A003307, Celsius: 43, A: +8.22, rev/s: +0.028,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C2B3203F6FF3307, Celsius: 43, A: +8.18, rev/s: -0.028,  rev: +5.119
2024/04/15 15:22:06 ID: 241, Data: 9C2B31032C003407, Celsius: 43, A: +8.17, rev/s: +0.122,  rev: +5.122
2024/04/15 15:22:07 ID: 241, Data: 9C2C3303F9FF3307, Celsius: 44, A: +8.19, rev/s: -0.019,  rev: +5.119
2024/04/15 15:22:07 ID: 241, Data: 9C2C3203FAFF3307, Celsius: 44, A: +8.18, rev/s: -0.017,  rev: +5.119
2024/04/15 15:22:07 ID: 241, Data: 9C2C320304003307, Celsius: 44, A: +8.18, rev/s: +0.011,  rev: +5.119
2024/04/15 15:22:07 ID: 241, Data: 9C2D2E03F0FF3307, Celsius: 45, A: +8.14, rev/s: -0.044,  rev: +5.119
