2024/04/15 15:32:28 ID: 241, Data: 9C31170310004007, Celsius: 49, A: +7.91, rev/s: +0.044,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C311703EBFF4007, Celsius: 49, A: +7.91, rev/s: -0.058,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C32130301004007, Celsius: 50, A: +7.87, rev/s: +0.003,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C32130300004007, Celsius: 50, A: +7.87, rev/s: +0.000,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C3213030B004007, Celsius: 50, A: +7.87, rev/s: +0.031,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C33130301004007, Celsius: 51, A: +7.87, rev/s: +0.003,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C331403F6FF4007, Celsius: 51, A: +7.88, rev/s: -0.028,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C331403EEFF4007, Celsius: 51, A: +7.88, rev/s: -0.050,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C341203FCFF4007, Celsius: 52, A: +7.86, rev/s: -0.011,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C341203FBFF4007, Celsius: 52, A: +7.86, rev/s: -0.014,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C340F0312004007, Celsius: 52, A: +7.83, rev/s: +0.050,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C3512030D004007, Celsius: 53, A: +7.86, rev/s: +0.036,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C350D030A004007, Celsius: 53, A: +7.81, rev/s: +0.028,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C350D03F8FF4007, Celsius: 53, A: +7.81, rev/s: -0.022,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C360C0317004007, Celsius: 54, A: +7.80, rev/s: +0.064,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C360C030D004007, Celsius: 54, A: +7.80, rev/s: +0.036,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C360B03F4FF4007, Celsius: 54, A: +7.79, rev/s: -0.033,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C360C03F0FF4007, Celsius: 54, A: +7.80, rev/s: -0.044,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C370B03F5FF4007, Celsius: 55, A: +7.79, rev/s: -0.031,  rev: +5.156
2024/04/15 15:32:30 ID: 241, Data: 9C370A03FFFF4007, Celsius: 55, A: +7.78, rev/s: -0.003,  rev: +5.156
2024/04/15 15:32:30 ID: 241, Data: 9C370B0305004007, Celsius: 55, A: +7.79, rev/s: +0.014,  rev: +5.156
2024/04/15 15:32:30 ID: 241, Data: 9C380D0368004807, Celsius: 56, A: +7.81, rev/s: +0.289,  rev: +5.178
2024/04/15 15:32:30 ID: 241, Data: 9C3872016B047207, Celsius: 56, A: +3.70, rev/s: +3.142,  rev: +5.294
2024/04/15 15:32:30 ID: 241, Data: 9C3822026002CE07, Celsius: 56, A: +5.46, rev/s: +1.689,  rev: +5.550
2024/04/15 15:32:30 ID: 241, Data: 9C38DF0291013108, Celsius: 56, A: +7.35, rev/s: +1.114,  rev: +5.825
2024/04/15 15:32:30 ID: 241, Data: 9C39CE00BD057108, Celsius: 57, A: +2.06, rev/s: +4.081,  rev: +6.003
2024/04/15 15:32:30 ID: 241, Data: 9C39DB029B00B508, Celsius: 57, A: +7.31, rev/s: +0.431,  rev: +6.192
2024/04/15 15:32:30 ID: 241, Data: 9C3AAC0113040309, Celsius: 58, A: +4.28, rev/s: +2.897,  rev: +6.408
2024/04/15 15:32:30 ID: 241, Data: 9C3976021A023809, Celsius: 57, A: +6.30, rev/s: +1.494,  rev: +6.556
2024/04/15 15:32:31 ID: 241, Data: 9C3A1F036F019609, Celsius: 58, A: +7.99, rev/s: +1.019,  rev: +6.817
2024/04/15 15:32:31 ID: 241, Data: 9C3A85028B01B509, Celsius: 58, A: +6.45, rev/s: +1.097,  rev: +6.903
2024/04/15 15:32:31 ID: 241, Data: 9C3AEE025F01000A, Celsius: 58, A: +7.50, rev/s: +0.975,  rev: +7.111
2024/04/15 15:32:31 ID: 241, Data: 9C3A890273022C0A, Celsius: 58, A: +6.49, rev/s: +1.742,  rev: +7.233
2024/04/15 15:32:31 ID: 241, Data: 9C3AD5029701850A, Celsius: 58, A: +7.25, rev/s: +1.131,  rev: +7.481
2024/04/15 15:32:31 ID: 241, Data: 9C3B5701DF04BD0A, Celsius: 59, A: +3.43, rev/s: +3.464,  rev: +7.636
2024/04/15 15:32:31 ID: 241, Data: 9C3B23028B020C0B, Celsius: 59, A: +5.47, rev/s: +1.808,  rev: +7.856
2024/04/15 15:32:31 ID: 241, Data: 9C3A8A02AE01700B, Celsius: 58, A: +6.50, rev/s: +1.194,  rev: +8.133
2024/04/15 15:32:31 ID: 241, Data: 9C3BB8005006BE0B, Celsius: 59, A: +1.84, rev/s: +4.489,  rev: +8.350
2024/04/15 15:32:32 ID: 241, Data: 9C3BC702CE01FA0B, Celsius: 59, A: +7.11, rev/s: +1.283,  rev: +8.517
2024/04/15 15:32:32 ID: 241, Data: 9C3B040232034F0C, Celsius: 59, A: +5.16, rev/s: +2.272,  rev: +8.753
2024/04/15 15:32:32 ID: 241, Data: 9C3BAD0162038A0C, Celsius: 59, A: +4.29, rev/s: +2.406,  rev: +8.917
2024/04/15 15:32:32 ID: 241, Data: 9C3BF602BD01E60C, Celsius: 59, A: +7.58, rev/s: +1.236,  rev: +9.172
